Product Names,Star Ratings,Review Count,Sales Volume,MRP Price,Discount Precentage,Discounted Price,Prime Delivery Estimate,Non Prime Delivery Estimate,Festival Tag,Category,Sub Category
Amazon Echo Dot (5th Gen),4.1,10.7K,5K ,5499,0.19,4449,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Portronics Fynix,4.3,120,500,3999,0.45,2199,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
pTron Newly Launched Fusion Tunes 10W Mini,4,3.5K,7K ,3199,0.75,797,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
JBL Go 3,4.4,74595,2K,3999,0.38,2499,11/10/2025,13/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
boAt Stone 352 Pro/Stone 358 Pro w/ 14W Signature,4,15.3K,5K ,4990,0.68,1599,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Portronics Dash 4,4.3,574,500,9999,0.46,5399,11/10/2025,13/10/2025,Best seller,Electronics,Bluetooth Speakers
boAt Aavante Bar 490 10W Signature Sound,3.9,4.1K,5K ,3490,0.7,1049,11/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
boAt Stone 1800,4.2,618,500,21990,0.75,5499,10/10/2025,12/10/2025,Best seller,Electronics,Bluetooth Speakers
Portronics SoundDrum 1 12W TWS Portable Bluetooth,4,6.7K,4K ,2499,0.65,879,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Dubstep Pop 600,4.2,290,400,1999,0.75,499,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
Zebronics ZEB-COUNTY 3W Wireless Bluetooth,3.8,31.8K,4K ,999,0.56,439,10/10/2025,11/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
ZEBRONICS Zeb-Buddy 100,3.7,17588,1K,2799,0.54,1299,10/10/2025,12/10/2025,Great Indian Festival,Electronics,Bluetooth Speakers
